event_test,event_type,event_year,event_month,event_day,event_talk_title,event_plenary,event_name,event_location,event_country,event_website,event_invited,event_additional,event_remote,event_poster,event_presentation_file
,Conference,2022,,,Modéliser les dynamiques épidémiques avec priming immunitaire au sein de mélanges variétaux,,Rencontres de la Chaire Modélisation Mathématique et Biodiversité,Ecole Polytechnique - Paris,France,http://www.cmap.polytechnique.fr/chaire-mmb/meeting14122022.html,1,,,,http://www.cmap.polytechnique.fr/chaire-mmb/X_20221214/Chaire%20MMB_14Dec2022_F-Hamelin.pdf
,Conference,2022,,,The proportion of resistant hosts in mixtures should be biased towards the resistance with the lowest breaking cost,,Canadian Mathematical Society Winter Meeting,Toronto - Ontario,Canada,https://www2.cms.math.ca/Events/winter22/sessions_scientific#tmb,1,,,,
,Conference,2022,,,Host Diversification May Split Epidemic Spread into Two Successive Fronts Advancing at Different Speeds,,Canadian Mathematical Society Winter Meeting,Toronto - Ontario,Canada,https://www2.cms.math.ca/Events/winter22/sessions_scientific#mma,1,,,,
,Conference,2022,,,Optimal control of plant disease epidemics with clean seed usage,,Séminaire Automatique et épidémiologie,Fréjus,France,https://sites.google.com/view/modmagr/s%C3%A9minaire-2,1,,1,,
,Conference,2022,,,Host Diversification May Split Epidemic Spread into Two Successive Fronts Advancing at Different Speeds,,Groupe de Travail BioMaths Normand,Rouen,France,https://lmah.univ-lehavre.fr/~gtmathsbio/,1,,,,
,Conference,2022,,,Host mixtures for plant disease control: Benefits from pathogen selection and immune priming,, Seminario franco-argentino sobre agroecologia,Universidad Nacional de Rosario,Argentina,https://fcagr.unr.edu.ar/?page_id=19177,,,,,
,Conference,2022,,,Immune priming and the limited diversity of resistance genes in host mixtures,,13èmes Rencontres de Phytopathologie – Mycologie,Aussois,France,,,,,,
,Seminar,2022,,,Host Diversification May Split Epidemic Spread into Two Successive Fronts Advancing at Different Speeds,,Mathematical Biology seminar,University of Alberta - Edmonton,Canada,https://www.ualberta.ca/mathematical-biology/media-library/mathbio-seminar-poster_frederic-hamelin3.pdf,,,,,
,Seminar,2022,,,Taking advantage of pathogen diversity and immune priming to minimize disease prevalence in host mixtures: two models,,Agricultural Food & Nutritional Science Department Seminar,University of Alberta - Edmonton,Canada,,,,,,
,Seminar,2020,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence,,Séminaire de l’UMR Interaction-Hôte-Pathogène-Environnement,Online,France,,,,,,
,Poster,2022,,,Host Diversification May Split Epidemic Spread into Two Successive Fronts Advancing at Different Speeds,,Workshop on Advances in Mathematical Ecology,The Fields Institute - Toronto - Ontario,Canada,http://www.fields.utoronto.ca/activities/22-23/ecology,,,,,
,Conference,2021,,,Enseigner l’épidémiologie mathématique aux biologistes avec la COVID-19,,Séminaire « Covid statistique et enseignement supérieur » de la Société Française de Statistiques,Lyon,France,https://www.sfds.asso.fr/newsletter-1647-739dd360015f44bb973a6224035c2b83,1,,,,https://www.sfds.asso.fr/sdoc-8874-5a2fbb9910481014f62a09e86902cc55-20211124_frederic_hamelin.pdf
,Seminar,2020,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence,,Theoretical and Computational Epidemiology Seminar,University of Cambridge,UK,,,,,,
,Conference,2020,,,Coinfections by noninteracting pathogens are not independent and require new tests of interaction,,Mathematical Models in Evolutionary Biology,Centre International de Rencontres Mathématiques - Marseille,France,,,,,,
,Conference,2020,,,Coinfections by noninteracting pathogens are not independent and require new tests of interaction,,Symposium de Modélisation et Statistique en Santé des Animaux et des Plantes,Online,France,,1,,,,
,Conference,2019,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence,,17èmes Rencontres de Virologie Végétale,Aussois,France,,,,,,
,Seminar,2019,,,Coinfections by noninteracting pathogens are not independent and require new tests of interaction,,Mathematical Biology seminar,University of Alberta - Edmonton,Canada,,,,,,
,Seminar,2019,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence,,Séminaire UMR ISA,Sophia-Antipolis,France,,,,,,
,Seminar,2019,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence,,Mathematical Biology Seminar,Oregon State University - Corvallis,USA,,,,,,
,Conference,2018,,,Gene-for-gene epidemic models systemic acquired resistance and the evolution of plant parasites,,Third Mathematical Biology Modelling Days of Besançon,Besançon,France,,1,,,,
,Conference,2018,,,Gene-for-gene epidemic models systemic acquired resistance and the evolution of plant parasites,,Réunion du Réseau INRAE-MIA MEDIA,Avignon,France,,1,,,,
,Conference,2018,,,Gene-for-gene epidemic models systemic acquired resistance and the evolution of plant parasites,,Eleventh European Conference on Mathematical and Theoretical Biology,Lisbon,Portugal,,,,,,
,Conference,2018,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence and slow down epidemic spread,,Journée Mathématiques et Agronomie de l’Agence Lebesgue,Rennes,France,,,,,,
,Conference,2018,,,Gene-for-gene epidemic models systemic acquired resistance and the evolution of plant parasites,,Atelier de Modélisation INRAE Grand-Ouest,Nantes,France,,,,,,
,Conference,2018,,,Gene-for-gene epidemic models seasonality and the evolution of latency in the Great Famine pathogen Phytophthora infestans,,12èmes Rencontres de Phytopathologie et Mycologie,Aussois,France,,,,,,
,Seminar,2018,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence,,Hilker Lab Meeting,University of Osnabrück,Germany,,,,,,
,Seminar,2018,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence,,Mathematical Biology Seminar,University of Alberta - Edmonton,Canada,,,,,,
,Seminar,2018,,,Taking advantage of pathogen diversity and plant immunity to minimize disease prevalence,,Agricultural Food & Nutritional Science Department Seminar,University of Alberta - Edmonton,Canada,,,,,,
,Conference,2017,,,The evolution of parasitic and mutualistic plant-virus symbioses through transmission-virulence trade-offs,,International conference on Mathematical Methods and Models in Biosciences,Skukuza,South Africa,,,,,,
,Conference,2017,,,The evolution of plant virus transmission pathways,,Atelier de Modélisation INRAE Grand-Ouest,Rennes,France,,,,,,
,Seminar,2017,,,Gene-for-gene epidemic models seasonality and the evolution of latency in the Great Famine pathogen Phytophthora infestans,,Mathematical Biology Seminar,University of Alberta - Edmonton,Canada,,,,,,
,Seminar,2017,,,Gene-for-gene epidemic models seasonality and the evolution of latency in the Great Famine pathogen Phytophthora infestans,,Agricultural Food & Nutritional Science Department Seminar,University of Alberta - Edmonton,Canada,,,,,,
,Seminar,2017,,,Temporal niche differentiation of parasites sharing the same plant host: oak powdery mildew as a case study,,Séminaire UMR ECOBIO,Rennes,France,,,,,,
,Conference,2016,,,The evolution of plant virus transmission pathways,,Emerging Trends in Applied Mathematics and Mechanics,Perpignan,France,,1,,,,
,Conference,2016,,,The evolution of plant virus transmission pathways,,Models in Population Dynamics and Ecology,Centre International de Rencontres Mathématiques - Marseille,France,,,,,,
,Conference,2016,,,Modelling the spread of organisms mixing sexual and asexual reproduction,,Journée Mathématiques et Agronomie de l’Agence Lebesgue,Rennes,France,,,,,,
,Conference,2016,,,Temporal niche differentiation of closely related parasite species sharing the same plant host. Oak powdery mildew as a case study,,Réunion du Groupe Champignons du REID,Paris,France,,,,,,
,Conference,2016,,,Temporal niche differentiation of closely related parasite species sharing the same plant host. Oak powdery mildew as a case study,,11èmes Rencontres de Phytopathologie - Mycologie,Aussois,France,,,,,,
,Seminar,2016,,,Temporal niche differentiation of closely related parasite species sharing the same plant host,,Pôle de Protection des Plantes,Saint Pierre - Reunion Island,France,,,,,,
,Conference,2015,,,Dynamiques épidémiologiques de parasites qui mixent reproduction sexuée et asexuée : l’exemple des cercosporioses du bananier,,Second Mathematical Biology Modelling Days of Besançon,Besançon,France,,1,,,,
,Conference,2015,,,Temporal niche differentiation of closely related parasite species sharing the same plant host. Oak powdery mildew as a case study,,Models in Populations Dynamics and Ecology,Niterói - Rio de Janeiro,Brazil,,,,,,
,Conference,2015,,,Dynamiques épidémiologiques de parasites qui mixent reproduction sexuée et asexuée : l’exemple des cercosporioses du bananier,,Atelier de Modélisation INRAE Grand-Ouest,Nantes,France,,,,,,
,Seminar,2015,,,Temporal niche differentiation of closely related parasite species sharing the same plant host,,Institut de Mathématiques de Bordeaux,Bordeaux,France,,,,,,
,Conference,2014,,,Mate limitation and the spread of plant pathogenic fungi,,Joint Meeting of the Japanese Society for Mathematical Biology and the Society for Mathematical Biology,Osaka,Japan,,,,,,
,Conference,2014,,,Mate limitation recurrent epidemic outbreaks and the coexistence of sexual and asexual plant parasites,,Dixièmes Rencontres de Phytopathologie - Mycologie,Aussois,France,,,,,,
,Conference,2014,,,Mate limitation and the spread of plant pathogenic fungi,,Colloque National du Groupement de Recherche Invasions Biologiques,Rennes,France,,,,,,
,Poster,2014,,,Allee effects and the evolution of polymorphism in cyclical parthenogens,,NIMBioS Investigative Workshop Vectored Plant Viruses,Knoxville - TN,USA,,,,,,
,Seminar,2014,,,Mate finding sexual spore production and the spread of fungal plant parasites,,Séminaire équipe Inria Biocore ,Sophia Antipolis,France,,,,,,
,Conference,2013,,,Parasites also have sex: consequences on host-parasite population dynamics,,Fourth Conference on Computational and Mathematical Population Dynamics,Taiyuan,China,,,,,,
,Conference,2013,,,Parasites also have sex: consequences on host-parasite population dynamics,,AARMS Mathematical Biology Workshop,St John’s - NF,Canada,,,,,,
,Conference,2013,,,Allee effects and the evolution of polymorphism in cyclical parthenogens,,Stochastic Models in Ecology Evolution and Genetics,Angers,France,,,,,,
,Conference,2012,,,On the evolutionary ecology of cyclically asexual plant parasites,,Models in Population Dynamics and Ecology,Santa Maria - Rio Grande do Sul,Brazil,,,,,,
,Conference,2012,,,L’évolution peut-elle conduire un parasite hétérothallique à l’extinction ?,,École de printemps du Réseau M3D,Oléron,France,,,,,,
,Conference,2012,,,L’évolution peut-elle conduire un parasite hétérothallique à l’extinction ?,,9ièmes Rencontres de Phytopathologie - Mycologie,Aussois,France,,,,,,
,Conference,2012,,,L’évolution peut-elle conduire un parasite hétérothallique à l’extinction ?,,Réunion Annuelle du Réseau Ecologie des Interactions Durables,Rennes,France,,,,,,
,Seminar,2012,,,Seasonality and the evolutionary divergence of plant parasites,,Lewis Lab Meeting,University of Alberta - Edmonton,Canada,,,,,,
,Conference,2011,,,Seasonality and the evolutionary divergence of plant parasites,,Niche Theory and Speciation Workshop,Lake Balaton,Hungary,,,,,,
,Conference,2011,,,Seasonality and the evolutionary divergence of plant parasites,,Réunion du réseau ModStatSP,Paris,France,,,,,,
,Conference,2011,,,Seasonality and the evolutionary divergence of plant parasites,,Réunion du réseau M3D,Porquerolles,France,,,,,,
,Poster,2011,,,Seasonality and the evolutionary divergence of plant parasites,,Conférence Jacques Monod “Coévolution entre virulence parasitaire et défenses immunitaires”,Roscoff,France,,,,,,
,Poster,2011,,,Seasonality and the evolutionary divergence of plant parasites,,Conférence Jacques Monod “Aspects évolutifs des maladies émergentes chez les animaux et chez les plantes dues à des champignons pathogènes dans le contexte des changements globaux”,Roscoff,France,,,,,,
,Seminar,2011,,,Seasonality and the evolutionary divergence of plant parasites,,Séminaire équipe Inria Modemic,Montpellier,France,,,,,,
,Conference,2010,,,A differential game theoretical analysis of mechanistic models for territoriality,,Models in Population Dynamics and Ecology 10,Leicester,UK,,1,,,,
,Conference,2010,,,Evolutionary insights from semi-discrete plant epidemic models,,Third Conference on Computational and Mathematical Population Dynamics,Bordeaux,France,,,,,,
,Conference,2010,,,Sur les déterminants évolutifs de la période de latence chez Phytophthora infestans,,8ièmes Rencontres de Phytopathologie - Mycologie,Aussois,France,,,,,,
,Conference,2010,,,Evolutionary branching of plant parasites in a periodic environment,,Réunion du Groupe Champignons du REID,Montpellier,France,,,,,,
,Conference,2010,,,Evolutionary insights from semi-discrete plant epidemic models,,Réunion du Réseau Mathématiques et décision pour le développement durable,Roscoff,France,,,,,,
,Conference,2010,,,Seasonality and the evolutionary divergence of plant parasites,,Groupe de travail Dynamique et Génétique des Populations,Angers,France,,,,,,
,Conference,2009,,,Virulence evolution through a latency-transmission tradeoff. Implications as to the durability of resistances in agriculture,,International Conference on Game Theory for Networks,Istanbul,Turkey,,1,,,,
,Conference,2009,,,Dynamique adaptative et durabilité des résistances aux champignons phytopathogènes,,Réunion du Réseau Mathématiques et décision pour le développement durable,Cargese - Corsica,France,,,,,,
,Poster,2009,,,Can partial resistance favor inter-seasonal disease transmission?,,Tenth International Epidemiology Workshop,Geneva - NY,USA,,,,,,
,Seminar,2009,,,A differential game theoretical analysis of mechanistic models for territoriality,,Centre for Mathematical Biology Seminar,Bath,UK,,,,,,
,Seminar,2009,,,A differential game theoretical analysis of mechanistic models for territoriality,,Séminaire UMR BIOEPAR,Nantes,France,,,,,,
,Conference,2008,,,A differential game theoretical analysis of mechanistic models for territoriality,,BIRS Workshop Dynamics of Structured Populations,Banff International Research Station - AB,Canada,,1,,,,
,Conference,2008,,,A differential game theoretical analysis of mechanistic models for territoriality,,Workshop Adaptive Dynamics of Insect Parasitoids,Paimpont,France,,1,,,,
,Conference,2008,,,A differential game theoretical analysis of mechanistic models for territoriality,,Differential Equations and Applications to Mathematical Biology,Le Havre,France,,,,,,
,Seminar,2008,,,A differential game theoretical analysis of mechanistic models for territoriality,,Department of Mathematics Seminar,University of Limerick,Ireland,,,,,,
,Conference,2007,,,Uncoupling Isaacs equations in two player nonzero sum differential games. Parental conflict over care as an example,,GERAD Workshop on Game Theory in Energy Resources and Environment,Montreal,Canada,,,,,,
,Conference,2007,,,Uncoupling Isaacs equations in two player nonzero sum differential games. Parental conflict over care as an example,,PIMS International Graduate Centre in Mathematical Biology – First Research Summit,Vancouver - BC,Canada,,,,,,
,Conference,2007,,,Parental care as a differential game,,Mathematical Models in Ecology and Evolution,Brighton,UK,,,,,,
,Conference,2007,,,Découplage des équations d’Isaacs dans les jeux différentiels à deux joueurs somme non nulle. Le conflit autour des soins parentaux tel un exemple,,Conférence en l’honneur de Claude Lobry,Saint-Louis,Senegal,,,,,,
,Conference,2007,,,Uncoupling Isaacs equations in two player nonzero sum differential games. Parental conflict over care as an example,,Sixth International ISDG Workshop,Rabat,Morocco,,,,,,
,Conference,2007,,,Le conflit autour des soins parentaux tel un jeu différentiel,,Troisièmes Rencontres écologie et comportement,Montpellier,France,,,,,,
,Conference,2007,,,Le superparasitisme tel un jeu différentiel,,Réunion INRA/ECOGER Insectes,Montpellier,France,,,,,,
,Seminar,2007,,,Uncoupling Isaacs equations in two player nonzero sum differential games. Parental conflict over care as an example,,Séminaire équipe Inria Anubis,Bordeaux,France,,,,,,
,Seminar,2007,,,Le conflit autour des soins parentaux tel un jeu différentiel,,Séminaire Biogéosciences,Université de Bourgogne - Dijon,France,,,,,,
,Seminar,2007,,,Le conflit autour des soins parentaux tel un jeu différentiel,,Séminaire UMR BIO3P,Rennes,France,,,,,,
,Seminar,2007,,,Uncoupling Isaacs equations in two player nonzero sum differential games. Parental conflict over care as an example,,Séminaire équipe Inria Mere,Montpellier,France,,,,,,
,Seminar,2007,,,Uncoupling Isaacs equations in two player nonzero sum differential games. Parental conflict over care as an example,,Centre for Mathematical Biology Seminar,University of Alberta - Edmonton,Canada,,,,,,
,Seminar,2007,,,Uncoupling Isaacs equations in two player nonzero sum differential games. Parental conflict over care as an example,,Department of Mathematics,Queen’s University - Kingston - ON,Canada,,,,,,
,Conference,2006,,,Superparasitism as a differential game,,International Conference on Behavioral Ecology of Insect Parasitoids,Sophia-Antipolis,France,,,,,,
,Conference,2006,,,Diet Selection as a differential foraging game,,Joint SIAM-SMB conference on the Life Sciences,Raleigh - NC,USA,,,,,,
,Conference,2006,,,Diet Selection as a differential foraging game,,International Congress on the Applications of Mathematics,Santiago,Chile,,,,,,
,Conference,2006,,,La sélection de ressources telle un jeu différentiel,,Réunion du Réseau de recherche Corev,Paris,France,,,,,,
,Seminar,2006,,,Superparasitism as a differential game,,Theoretical Biology Group - Institute of Biology,Leiden University,Netherlands,,,,,,
,Seminar,2006,,,Superparasitism as a differential game,,Centre for Ecology and Conservation,University of Exeter - Cornwall Campus,UK,,,,,,
,Seminar,2006,,,Superparasitism as a differential game,,School of Mathematics - Centre for Behavioral Biology,University of Bristol,UK,,,,,,
,Conference,2005,,,Stratégies évolutivement stables d’abandon d’agrégat de ressources avec arrivées stochastiques.,,Réunion du réseau de recherche Corev (Modèles et théories pour le contrôle de ressources vivantes et la gestion de systèmes écologiques),Paris,France,,,,,,
,Conference,2005,,,Stratégies évolutivement stables d’abandon d’agrégat de ressources.,,Réunion comportement et parasitisme organisée par le GDR CNRS Ecologie Comportementale,Lyon,France,,,,,,
,Seminar,2004,,,Optimisation dynamique et stochastique en écologie du comportement,,Séminaire équipe Inria Comore,Sophia-Antipolis,France,,,,,,
